userid,start_date_s,end_date_s,status_s,progress_s,duration_s_s,finished_s,recorded_date_s,response_id_s,distribution_channel,user_language,id_1_s,id_2_s,id_3_s,id_4_s,id_5_s,participinfo,consent,q12_first_click,q12_last_click,q12_page_submit,q12_click_count,entexp,entxn,entxb,xposent,xposen,xposeb,prog,programme,q18,q19_first_click,q19_last_click,q19_page_submit,q19_click_count,cse1,cse2,cse3,creativese,q24_first_click,q24_last_click,q24_page_submit,q24_click_count,pinno1,pinno2,pinno3,persinno,q29_first_click,q29_last_click,q29_page_submit,q29_click_count,pl1,cl1,cl2,pl2,cl3,ml1,ml2,pl3,ml3,pl,cl,ml,frequse,frequentuser,useplan,useprof,useacad,usecontext,q44_first_click,q44_last_click,q44_page_submit,q44_click_count,se1,se2,se3,selfefficacy,q49_first_click,q49_last_click,q49_page_submit,q49_click_count,gender,q50_3_text,ageoriginal,hscountry,country_n,country_group,uk,q53_first_click,q53_last_click,q53_page_submit,q53_click_count,q63_first_click,q63_last_click,q63_page_submit,q63_click_count,random_id,id
bb11zm,2024-01-31T11:27:47Z,2024-01-31T11:37:57Z,IP Address,100,609,TRUE,2024-01-31T11:37:58Z,R_6xStVEAHrrAMoPn,anonymous,EN,b,b,11,z,m,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,11.316,43.298,43.783,6,4,5,4,4.333333333333333,2.891,2.891,3.271,1,2,1,1,1.3333333333333333,2.913,2.913,3.433,1,6,4,6,6,4,6,5,6,4,6,4.666666666666667,5,Several times each week.,frequent generative AI user,2,2,1,1.6666666666666667,2.33,2.33,4.247,1,5,5,6,5.333333333333333,3.05,5.166,5.505,3,Female,NA,24,Slovakia,1,Europe & Central Asia,0,NA,NA,NA,NA,7.839,7.839,45.706,1,41050,NA
bb18ya,2024-01-31T11:29:43Z,2024-01-31T11:38:51Z,IP Address,100,548,TRUE,2024-01-31T11:38:53Z,R_4i3tgmyXZawGjaS,anonymous,EN,b,b,18,y,a,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as an entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience –broader,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,3.999,6.668,9.445,2,6,6,6,6,5.195,5.195,6.581,1,5,4,6,5,5.223,7.09,8.296,2,6,6,6,7,1,5,5,6,7,6.333333333333333,4.333333333333333,5.666666666666667,Several times each week.,frequent generative AI user,3,2,2,2.3333333333333335,7.68,7.68,8.902,1,7,7,6,6.666666666666667,6.044,6.044,7.328,1,Male,NA,22,China,95,China,0,NA,NA,NA,NA,24.229,24.229,61.427,1,60534,NA
bf11lj,2024-02-01T10:14:29Z,2024-02-01T10:19:17Z,IP Address,100,288,TRUE,2024-02-01T10:19:18Z,R_6iXdj1nyJ3iZaWS,anonymous,EN,b,f,11,l,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,None of the above.,0,0,A programme at the Business School.,Business programme at the business school,0,4.983,4.983,6.871,1,5,6,6,5.666666666666667,2.809,5.128,6.164,3,6,5,5,5.333333333333333,2.569,3.145,4.358,2,5,4,4,5,4,4,3,5,3,5,4,3.3333333333333335,Several times each week.,frequent generative AI user,2,2,2,2,2.132,2.132,5.437,1,5,6,6,5.666666666666667,2.274,2.916,3.947,3,Female,NA,20,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,11.048,37.76,39.96,2,42555,NA
bl14ja,2024-01-31T11:28:12Z,2024-01-31T11:39:25Z,IP Address,100,672,TRUE,2024-01-31T11:39:25Z,R_8RDmg34OQ94z161,anonymous,EN,b,l,14,j,a,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,32.626,32.626,33.782,1,5,6,4,5,4.077,7.355,8.799,2,5,4,4,4.333333333333333,4.445,6.676,7.802,2,6,7,7,6,3,6,6,7,2,6.333333333333333,5.666666666666667,4.666666666666667,About once a month.,0,3,3,2,2.6666666666666665,6.266,6.266,7.611,1,5,5,5,5,7.513,7.513,8.591,1,Female,NA,20,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,6.909,6.909,67.738,1,78682,NA
bo16ln,2024-01-31T11:26:26Z,2024-01-31T11:35:56Z,IP Address,100,569,TRUE,2024-01-31T11:35:57Z,R_2PWuHaTNAg7wtl7,anonymous,EN,b,o,16,l,n,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a business owner.,entrepreneurial experience – narrower,entrepreneurial experience –broader,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,"Language and Business (for example, French and Business, German and Business).",Another programme with a business component,2,16.805,16.805,18.764,1,6,7,6,6.333333333333333,2.986,2.986,3.824,1,5,5,5,5,2.598,2.598,3.394,1,6,3,2,6,3,3,3,5,2,5.666666666666667,2.6666666666666665,2.6666666666666665,Once or more each day.,frequent generative AI user,2,1,1,1.3333333333333333,3.359,3.359,4.308,1,5,6,6,5.666666666666667,2.587,3.487,4.124,2,Female,NA,22,United States,6,United States,0,NA,NA,NA,NA,5.361,5.361,31.646,1,23255,NA
bw12lj,2024-01-31T11:32:17Z,2024-01-31T11:38:49Z,IP Address,100,391,TRUE,2024-01-31T11:38:50Z,R_6lXPYPVK7u8zI6L,anonymous,EN,b,w,12,l,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,3 or more,16.998,16.998,17.655,1,3,3,5,3.6666666666666665,5.619,5.619,8.123,1,2,2,2,2,2.898,2.898,3.525,1,6,5,5,6,3,5,6,6,2,6,4.333333333333333,4.333333333333333,Several times each week.,frequent generative AI user,3,2,1,2,3.03,3.03,3.845,1,3,4,5,4,3.692,3.692,4.199,1,Female,NA,22,China,95,China,0,NA,NA,NA,NA,7.884,7.884,30.341,1,79757,NA
cc03ja,2024-01-31T11:39:47Z,2024-01-31T11:44:09Z,IP Address,94,262,FALSE,2024-02-07T11:44:16Z,R_1pA1UfskFyJWBx8,anonymous,EN,c,c,03,j,a,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a business owner.,entrepreneurial experience – narrower,entrepreneurial experience –broader,None of the above.,0,0,"I am an exchange student, but I study business in my home university.",Another programme with a business component,3 or more,1.088,1.088,1.809,1,6,6,3,5,1.242,1.242,1.924,1,7,7,7,7,0.632,1.066,1.442,2,7,7,7,7,7,7,7,7,7,7,7,7,"I have heard of, but never used any form of Generative AI.",0,3,3,3,3,0.711,0.711,1.448,1,7,6,7,6.666666666666667,0.492,0.492,1.125,1,Male,NA,18,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,NA,NA,NA,NA,61707,NA
cg14lf,2024-01-31T11:29:19Z,2024-01-31T11:37:46Z,IP Address,100,506,TRUE,2024-01-31T11:37:46Z,R_21aCA1MQLE88WX5,anonymous,EN,c,g,14,l,f,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,3.491,3.491,4.666,1,I have experience as an entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience –broader,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,Law and Business / Psychology and Business / Economics and Management.,Another programme with a business component,2,4.949,4.949,5.774,1,7,7,6,6.666666666666667,3.244,3.244,3.994,1,7,6,6,6.333333333333333,2.05,2.05,3.156,1,5,6,7,5,3,4,5,4,5,4.666666666666667,5.333333333333333,4.666666666666667,Once or more each day.,frequent generative AI user,1,1,1,1,1.875,1.875,4.796,1,7,7,7,7,2.294,2.294,2.934,1,Female,NA,21,China,95,China,0,NA,NA,NA,NA,6.67,233.389,238.94,4,86523,NA
cg19lo,2024-01-31T11:31:04Z,2024-01-31T11:47:03Z,IP Address,100,959,TRUE,2024-01-31T11:47:04Z,R_8iFUOzPJzK0ROwx,anonymous,EN,c,g,19,l,o,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,13.64,0,None of the above.,0,0,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,Mathematics and Business.,Another programme with a business component,0,16.425,16.425,19.498,1,4,4,5,4.333333333333333,10.413,13.986,14.879,2,5,4,6,5,8.144,8.144,10.632,1,5,6,6,5,4,5,6,6,4,5.333333333333333,5.333333333333333,5,Several times each week.,frequent generative AI user,1,2,2,1.6666666666666667,5.854,6.895,8.271,2,7,7,7,7,6.536,6.536,7.385,1,Female,NA,23,China,95,China,0,NA,NA,NA,NA,4.416,11.14,90.652,3,10663,NA
cg28cj,2024-01-31T11:30:25Z,2024-01-31T11:52:45Z,IP Address,100,1340,TRUE,2024-01-31T11:52:46Z,R_5cDSObFyFsxqAAV,anonymous,EN,c,g,28,c,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,6.383,0,None of the above.,0,0,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,Mathematics and Business.,Another programme with a business component,2,17.695,17.695,18.804,1,5,5,3,4.333333333333333,4.94,4.94,5.676,1,5,6,6,5.666666666666667,2.856,2.856,3.453,1,3,5,5,6,3,5,6,5,5,4.666666666666667,4.333333333333333,5.333333333333333,Several times each week.,frequent generative AI user,2,2,2,2,6.652,6.652,7.902,1,4,5,5,4.666666666666667,3.622,4.274,5.199,2,Male,NA,21,China,95,China,0,NA,NA,NA,NA,12.519,18.187,676.422,2,19967,NA
ch04ja,2024-01-31T11:30:21Z,2024-01-31T11:41:28Z,IP Address,100,667,TRUE,2024-01-31T11:41:29Z,R_4LjU6lT2tbkoX9N,anonymous,EN,c,h,04,j,a,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,14.201,0,I have experience as an entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience –broader,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,14.736,14.736,15.842,1,6,6,6,6,3.821,3.821,4.73,1,5,6,6,5.666666666666667,3.43,3.43,4.422,1,6,6,7,5,4,5,4,5,4,5.333333333333333,5.666666666666667,4.333333333333333,Several times each week.,frequent generative AI user,2,2,2,2,6.566,7.689,8.867,2,6,7,6,6.333333333333333,4.225,4.225,4.999,1,Male,NA,23,China,95,China,0,NA,NA,NA,NA,8.302,8.302,54.976,1,16643,NA
ch12hs,2024-01-31T11:29:31Z,2024-01-31T11:38:55Z,IP Address,100,563,TRUE,2024-01-31T11:38:56Z,R_477nhV09oFgArHh,anonymous,EN,c,h,12,h,s,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,9.144,9.144,12.944,1,6,7,6,6.333333333333333,4.112,4.112,6.444,1,5,4,5,4.666666666666667,3.369,3.369,5.142,1,3,2,2,6,2,5,5,3,6,4,2,5.333333333333333,About once each week.,0,3,1,2,2,5.053,5.053,6.228,1,6,6,5,5.666666666666667,7.988,7.988,12.153,1,Female,NA,23,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,4.33,4.33,29.396,1,85976,NA
ch26cd,2024-01-31T11:44:32Z,2024-01-31T12:34:11Z,IP Address,94,2979,FALSE,2024-02-07T12:34:12Z,R_17qfCBUTsEYNYBl,anonymous,EN,c,h,26,c,d,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,0.949,0,None of the above.,0,0,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,1.4,1.4,2.126,1,6,6,5,5.666666666666667,1.284,2.497,3.08,2,6,5,6,5.666666666666667,1.275,1.275,1.8,1,7,7,6,6,6,6,5,6,6,6.333333333333333,6.333333333333333,5.666666666666667,Several times each week.,frequent generative AI user,2,1,1,1.3333333333333333,1.258,1.258,2.128,1,7,7,7,7,0.384,0.384,0.971,1,Female,NA,22,China,95,China,0,NA,NA,NA,NA,NA,NA,NA,NA,36339,NA
ch26yd,2024-01-31T15:34:44Z,2024-01-31T15:39:34Z,IP Address,100,289,TRUE,2024-01-31T15:39:35Z,R_4RlYAw1Yhd7c2Ep,anonymous,EN,c,h,26,y,d,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,1.279,0,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,5.7,5.7,6.801,1,6,5,5,5.333333333333333,46.341,47.479,48.059,2,5,6,5,5.333333333333333,0.796,0.796,1.353,1,5,5,6,5,6,5,5,6,5,5.333333333333333,5.666666666666667,5,Several times each week.,frequent generative AI user,3,2,2,2.3333333333333335,29.921,29.921,30.749,1,5,6,6,5.666666666666667,0.518,1.569,1.949,3,Female,NA,23,Hong Kong (S.A.R.),2,East Asia & Pacific,0,NA,NA,NA,NA,0,0,1.462,0,40718,NA
ch28kj,2024-01-31T11:27:49Z,2024-01-31T11:39:50Z,IP Address,100,720,TRUE,2024-01-31T11:39:50Z,R_6nckuIpwsWWLQo2,anonymous,EN,c,h,28,k,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,19.813,19.813,36.816,1,4,5,5,4.666666666666667,23.606,23.606,24.512,1,5,2,6,4.333333333333333,6.746,6.746,7.672,1,4,7,6,4,5,5,5,6,5,4.666666666666667,6,5,About once each week.,0,3,3,1,2.3333333333333335,5.247,5.247,7.341,1,5,7,5,5.666666666666667,7.082,7.082,8.092,1,Male,NA,21,China,95,China,0,NA,NA,NA,NA,6.861,6.861,19.762,1,73641,NA
